0,1464	0,429	0,548	0,5601	0,4918	0,4625	0,4371	0,4536
0,2222	0,496	0,5937	0,6016	0,5694	0,5347	0,4855	0,5049
0,2918	0,5764	0,6388	0,6438	0,6494	0,61	0,5605	0,5553
0,3577	0,6319	0,6839	0,6865	0,6943	0,6851	0,6316	0,6026
0,4236	0,687	0,7288	0,7294	0,7375	0,7457	0,7006	0,6471
0,4784	0,7413	0,7731	0,7721	0,7807	0,7893	0,7693	0,7112
0,5251	0,7951	0,8164	0,8143	0,8243	0,8315	0,8435	0,783
0,5886	0,844	0,8579	0,8567	0,8666	0,8725	0,8823	0,9095
0,635	0,8924	0,8979	0,8978	0,9063	0,9108	0,9202	0,9765
0,6994	0,9357	0,9363	0,9366	0,9436	0,9478	0,9595	1,0266
0,8302	0,9725	0,9716	0,9712	0,9787	0,9851	1,0002	1,0702
0,9849	1,0027	1,0015	1,0025	1,0142	1,023	1,0423	1,1141
1,0333	1,0214	1,022	1,0318	1,0506	1,062	1,0847	1,1579
1,0631	1,0291	1,0362	1,061	1,0879	1,1017	1,1276	1,202
1,0986	1,045	1,0488	1,0899	1,1236	1,14	1,1696	1,2462
1,1265	1,0784	1,0669	1,1124	1,1574	1,1772	1,2104	1,2903
1,1345	1,1168	1,0869	1,1341	1,186	1,2111	1,2494	1,3338
1,1072	1,1595	1,1129	1,1518	1,2104	1,2382	1,288	1,3767
1,088	1,1919	1,1464	1,1702	1,2367	1,268	1,3197	1,4172
0,7218	1,2256	1,1792	1,1844	1,256	1,2901	1,352	1,4553
0,7301	1,2126	1,2125	1,2024	1,2785	1,3174	1,3825	1,4894
0,741	1,1846	1,23	1,2154	1,2965	1,3417	1,4089	1,524
0,7481	1,1451	1,2405	1,2311	1,2997	1,3587	1,4395	1,5572
0,7602	1,0969	1,2449	1,2456	1,316	1,3702	1,4676	1,5877
0,7717	1,0467	1,2306	1,2576	1,3279	1,3868	1,4937	1,615
0,7873	0,6516	1,1941	1,2678	1,3383	1,4001	1,5145	1,6443
0,801	0,6181	1,1536	1,2697	1,3421	1,41	1,5238	1,6708
0,8226	0,6275	1,1115	1,2632	1,3353	1,4136	1,5368	1,6969
0,8448	0,6478	0,9172	1,2504	1,3283	1,4076	1,5556	1,7175
0,8512	0,6347	0,8306	1,2301	1,3252	1,3863	1,5654	1,7365
0,8574	0,6664	0,8456	1,2015	1,3189	1,3853	1,5704	1,7509
0,8746	0,6501	0,8825	1,162	1,3094	1,3765	1,5717	1,7594
0,9014	0,6794	0,861	1,1092	1,2942	1,3626	1,5684	1,7624
0,9033	0,6641	0,8812	1,0133	1,2779	1,3437	1,5577	1,757
0,9198	0,6949	0,9068	0,7359	1,258	1,322	1,5406	1,7594
0,9378	0,6797	0,8985	0,729	1,237	1,2991	1,5157	1,7564
0,9468	0,6961	0,9157	0,7406	1,2117	1,2749	1,48	1,7467
0,9759	0,6992	0,9427	0,7554	1,1904	1,253	1,4395	1,726
0,9765	0,7052	0,939	0,7517	1,1494	1,2279	1,3963	1,7052
0,9979	0,7317	0,9544	0,761	NaN	1,2045	1,3527	1,6731
1,0063	0,7205	0,9807	0,7772	NaN	1,1752	1,3159	1,6397
1,0236	0,7288	0,9817	0,7747	NaN	1,1381	1,2773	1,5917
1,0386	0,7512	0,995	0,7826	NaN	0,7819	1,2399	1,5487
1,0489	0,7436	1,0118	0,7918	NaN	0,7902	1,2177	1,4957
1,073	0,7511	1,0293	NaN	NaN	0,7986	1,2018	1,4401
NaN	0,7645	1,0364	NaN	NaN	0,8069	1,1863	1,382
NaN	0,7683	1,0505	NaN	NaN	NaN	1,1653	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
